id,icao_24bit,aircraft_code,registration,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,time,duration,latitude,longitude,altitude,ground_speed,turn1,turn2,turn3,turn4,deltaD1,deltaD2,deltaD3,deltaD4
347b369e,5084D2,B753,UR-SLB,WAW,RMF,QU2247,UTN,UTN2247,31.216666666666665,20.02857142857143,38.71,25.68,33000.0,461.2857142857143,5,6,1,15,0.0,0.0,2086.4958395864446,-2086.4958395864446
347b37e6,4CA961,B38M,EI-RZC,SSH,MXP,NO4529,NOS,NOS4529,16.166666666666664,20.658333333333335,42.025,14.635,34379.166666666664,398.5,1,1,1,3,0.0,1634.335831980996,421.26886845196555,-2055.6047004329616
347b395e,683298,B738,UP-B3732,AKX,IST,DV495,VSV,VSV495,2.183333333333333,20.279629629629632,40.38,41.13,35975.0,422.55555555555554,15,12,5,22,-2150.8167959176208,0.0,0.0,0.0
347b3990,060040,A359,3B-NCE,CDG,MRU,MK15,MAU,MAU15,46.266666666666666,19.397916666666667,39.89,17.695,36500.0,516.875,25,2,1,0,0.0,0.0,0.0,1001.0028516714788
347b3a2d,4B0294,E295,HB-AZK,VNO,ZRH,LX1341,OAW,SWR1341,45.21666666666667,18.891666666666666,51.41,15.875,38000.0,411.75,2,7,1,0,0.0,0.0,0.0,0.0
347b3ad1,4C01EE,A320,YU-APO,MAD,BEG,JU571,ASL,ASL84M,31.216666666666665,19.18611111111111,44.955,6.279999999999999,33766.666666666664,501.1666666666667,1,23,7,14,0.0,0.0,0.0,230.39073299729552
347b3c63,3475C9,A321,EC-OCT,AGP,LGW,,PVG,TOM807P,1.0333333333333334,19.523333333333333,45.89,-2.7,35625.0,423.4,349,1,1,0,544.0040265672068,-544.0040265672068,0.0,0.0
347b3d7f,706056,B77W,9K-AOC,LHR,KWI,KU102,KAC,KAC102,32.35,21.183333333333334,41.86,31.214999999999996,33857.142857142855,454.14285714285717,2,2,2,28,413.0436305696817,-413.0436305696817,0.0,6197.3421515747405
347b4020,3A2E23,B77W,F-OLRD,CDG,RUN,UU974,REU,REU974,17.25,22.158333333333335,42.22,15.68,30717.5,530.8,16,8,2,5,-3402.1502714119947,0.0,0.0,712.3725482928345
347b4212,503CC0,B738,LY-LOC,TFS,HAM,DI6449,KLJ,MBU6449,3.3333333333333335,20.77948717948718,45.07,-3.21,33778.846153846156,451.46153846153845,14,1,4,29,0.0,0.0,0.0,197.30300795541515
347b42de,0101DC,B789,SU-GES,JFK,CAI,MS986,MSR,MSR986,16.233333333333334,15.658333333333333,47.45,-2.665,38325.0,544.3333333333334,6,2,2,2,2708.1720391747685,-3288.7709654239115,-826.2195854938099,7322.932659032248
347b44a8,4CAAC1,B738,EI-GRJ,BLQ,RMF,NO6588,NOS,NOS6588,59.93333333333333,19.266666666666666,37.3,21.44,35000.0,478.6,5,9,5,7,0.0,519.4669145360996,-519.4669145360996,0.0
347b474a,155BF6,SU95,RA-89078,AYT,DME,IO1802,IAE,IAE1802,18.333333333333336,20.50897435897436,45.23,43.38,34773.07692307692,424.46153846153845,13,18,29,230,0.0,0.0,1380.2820288663652,846.700612810057
