,id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
51,347b7ca2,504E72,A320,ER-00008,0,RMO,LIS,5F811,FIA,FIA811,0.0,0.06868676216325117,0.0059603407091705606,0.0,0.0,0.0,0.0005793142757693518,43.695,6.630000000000001,0.9999360512104326,0.01129415267546916
52,347b7d89,3C4581,B77L,D-AALA,0,FRA,BOM,3S628,BOX,BOX628,0.010552363459878934,0.0824241145959014,0.009933901181950935,-0.06597817083441185,0.23847645942159337,0.23814114144393494,0.0005462273433481842,40.4,36.870000000000005,0.9998926323597646,0.014643271094593343
53,347b83b3,008BA5,GLEX,ZS-EKA,0,FAB,JNB,,OPM,OPM007,0.018466636054788134,0.02747470486530047,0.0059603407091705606,0.024526602119192026,0.15128248872812208,0.012432329653160571,5.891021290467218e-05,41.88,2.18,0.999919632947889,0.012677703851475496
54,347b842c,3C79C1,A320,D-ANNA,0,LPA,BER,SR3499,SDR,SDR39CJ,0.03429518124460654,0.10989881946120188,0.03774882449141355,-0.0023301458276505367,0.027637243207768274,0.06892826604806516,0.00010627038737274175,43.5,1.11,0.9998913427293886,0.014740808710006329
55,347b8550,71BE23,B748,HL7623,0,FRA,ICN,KE530,KAL,KAL530,0.026380908649697336,0.02747470486530047,0.007947120945560748,0.18091011190154174,-0.09991713746380168,-0.09844114885668474,0.0010805022607446825,43.34,29.48,0.9998677636741837,0.01622614187203266
56,347b877c,5084D1,B753,UR-SLE,0,HRG,KTW,QU9122,UTN,UTN9122,0.060676089894303877,0.1236361718938521,0.0059603407091705606,-0.04252889866695086,-0.04378968482757793,-0.027048387823751324,0.0005385015650154616,43.905,27.055,0.9999148394556627,0.013039319476893196
57,347b8bba,4CAC13,A21N,EI-KGD,0,LHR,SCO,KC664,KZR,KZR664,0.026380908649697336,0.02060602864897535,0.003973560472780374,0.02679564178630542,0.0,0.0,0.001481495334579324,44.885000000000005,25.605,0.9999043840211341,0.01374874492052918
58,347b8c6f,010250,A321,SU-TCL,0,SSH,SVO,UJ611,LMU,LMU611,0.005276181729939467,0.02060602864897535,0.0456959454369743,-0.08448625352940467,0.009778019364169844,-0.0443560015394554,0.000971366980281195,46.31,27.67,0.9999023993029218,0.013937299395875017
59,347b90de,504E61,A319,ER-SKY,0,RMO,BGY,H4483,HYM,HYS483,0.007914272594909202,0.02747470486530047,0.023841362836682242,0.03948834581151121,0.0,0.21604334467359396,0.0013334859866508636,47.09,18.155,0.9999340290552737,0.011408740176299297
60,347b91ab,738C0A,B763,4X-IAJ,0,OSL,TLV,5C602,CHG,ICL602,0.0026380908649697335,0.013737352432650235,0.003973560472780374,0.0046776862815073135,0.1779755867336922,0.1310965776459574,0.001422881241539643,45.535,20.67,0.9999140450932059,0.013033719128276226
