,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
1066,45.07,0.0,25.09,347b6085,424502,116,35000,460,,B738,VQ-BHE,1711216921,MUC,DYU,SZ122,SZ,0,0,SMR122,SMR
1068,36.46,1520.978037610082,4.69,347b18b7,05E057,83,35000,515,,B38M,5T-CLJ,1711216920,NKC,TUN,L6116,L6,0,0,MAI116,MAI
1079,50.53,0.0,43.06,347aad9e,155C37,333,35000,413,,SU95,RA-89143,1711216919,TLV,AER,WZ16,WZ,0,-128,RWZ016,RWZ
1101,43.78,912.9778819608521,27.64,347b28bb,47B12E,139,34975,497,,B789,LN-FNC,1711216921,OSL,BKK,N091,N0,0,-128,NBT091,NBT
1106,40.17,0.0,0.43,347b5996,096028,229,34975,393,,B38M,D4-CCJ,1711216920,BGY,SID,VR631,VR,0,-64,TCV631,TCV
1119,40.9,1818.027171095343,8.72,347b6322,0101A7,112,34950,495,,A320,SU-BQK,1711216922,NTE,LXR,NP7156,NP,0,-64,NIA7156,NIA
1129,49.29,0.0,-1.81,347b3c63,3475C9,10,34325,408,,A321,EC-OCT,1711216920,AGP,LGW,,,0,-896,TOM807P,PVG
1158,37.89,0.0,-1.64,347b81fa,4D2357,58,34000,472,,A320,9H-GTS,1711216920,XRY,BCN,VY2287,VY,0,-64,VLG43BT,IAN
1160,39.75,0.0,37.1,347b0875,150694,289,34000,401,,CRJ2,RA-67220,1711216915,DWC,,RFE9005,RF,0,-256,RFE9005,PLG
1168,46.26,4637.58372901932,4.96,347b4b5d,02A262,329,34000,367,,A320,TS-ITC,1711216920,TUN,ORY,TU724,TU,0,64,TAR724,TAR
1169,45.32,0.0,5.78,347b4a9b,4D22AB,328,34000,389,,A20N,9H-NED,1711216921,MLA,LHR,KM102,KM,0,0,AMC102,AMC
1196,56.02,0.0,37.14,347aef70,507C70,307,34000,364,,A21N,UK32105,1711216920,TAS,LED,HY631,HY,0,0,UZB631,UZB
1205,44.22,2240.452803156138,22.96,347ae599,4D0115,287,34000,487,,B744,LX-ECV,1711216921,DWC,LUX,CV7205,CV,0,0,CLX7XM,CLX
1226,40.12,0.0,-6.62,347b4212,503CC0,27,34000,461,,B738,LY-LOC,1711216921,TFS,HAM,DI6449,DI,0,-64,MBU6449,KLJ
1230,50.71,694.4811531396819,5.02,347aa1ee,4A1A61,301,33975,457,,B744,YR-FSA,1711216921,SHJ,BHX,NJ3319,NJ,0,-192,RCR3319,RCR
1238,45.86,0.0,20.33,347b73ae,507C8F,151,33950,432,,B763,UK67010,1711216922,OSR,TAS,C67600,C6,0,1152,MFX7600,MFX
1265,48.6,0.0,10.27,347a79b0,A8320E,121,33025,515,,B748,N627UP,1711216920,SDF,DXB,5X76,5X,0,-64,UPS76,UPS
1283,43.84,0.0,28.44,347b3350,899105,117,33000,472,,B744,B-18719,1711216915,AMS,BOM,CI5686,CI,0,0,CAL5686,CAL
1286,54.63,752.4615555760084,-13.2,347af282,AA57DF,290,33000,382,,B772,N766AN,1711216918,LHR,CLT,AA731,AA,0,0,AAL731,AAL
1290,46.66,0.0,20.72,347b3d7f,706056,116,33000,494,,B77W,9K-AOC,1711216921,LHR,KWI,KU102,KU,0,0,KAC102,KAC
1315,55.95,0.0,6.67,347b64cb,7807D6,56,33000,490,,A332,B-6538,1711216921,LHR,PVG,MU534,MU,0,-64,CES534,CES
1322,38.71,2086.4958395864446,25.68,347b369e,5084D2,159,33000,480,,B753,UR-SLB,1711216921,WAW,RMF,QU2247,QU,0,0,UTN2247,UTN
1332,40.54,0.0,30.39,347b8c7c,73502E,97,32975,401,,MD83,EP-TAN,1711216920,IST,,I36602,I3,0,128,TBZ6602,TBZ
1341,41.53,5264.635985250298,43.57,347a7813,600865,98,32925,414,,IL76,4K-AZ101,1711216920,LPA,GYD,ZP2123,ZP,0,-64,AZQ2123,AZQ
1357,37.34,0.0,-10.26,347b80b3,45209C,214,32225,438,,A320,LZ-MDI,1711216921,LIS,RAI,VR607,VR,0,1152,TCV607,USW
1373,40.53,0.0,32.25,347b3c19,731A2D,279,32000,494,,A306,EP-FQM,1711216920,IKA,IST,QB2215,QB,0,0,QSM2215,QSM
1374,55.81,0.0,41.07,347b5343,150655,264,32000,372,,CRJ2,RA-67157,1711216918,,,RT204,RT,0,0,UVT204,UVT
1385,49.57,0.0,4.15,347b17c4,A0E1E8,57,32000,510,,GLEX,N156QS,1711216922,CAT,CGN,,,0,-64,N156QS,EJA
1402,53.97,5161.3720994443065,-14.77,347b4d69,AB5D2C,281,32000,388,,B764,N831MH,1711216915,LHR,JFK,DL4,DL,0,0,DAL4,DAL
