,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
1367,40.3,0.0,0.56,347bbaef,347187,61,28000,486,,C25C,EC-NQS,1711221434,VLC,BCN,ORO1044,OR,0,-64,ORO1044,ORO
1370,47.14,4919.240756166192,1.31,347bacdf,4D02B6,8,27975,378,,PC24,LX-PCH,1711221433,DCM,TNF,,,0,-512,JFA54X,JFA
1387,42.85,0.0,6.11,347bb2bb,399549,116,27000,346,,BE20,F-HFKJ,1711221432,MRS,AJA,,,0,64,AGH23A,AGH
1394,47.56,1648.890562982786,6.81,347bb7ae,39DDE6,206,26875,344,,P180,F-HXPG,1711221432,SXB,LYN,OYO1,OY,0,-512,OYO1,OYO
1395,59.92,468.16125650221716,17.77,347bb2d2,4ACAC2,15,26850,380,,PC24,SE-RVB,1711221431,ARN,UME,,,0,3584,SWE26V,SWE
1405,44.3,0.0,10.05,347b37e6,4CA961,304,26250,342,,B38M,EI-RZC,1711221431,SSH,MXP,NO4529,NO,0,-1024,NOS4529,NOS
1435,47.29,0.0,10.38,347bb609,501DC5,100,25000,412,,DH8D,9A-CQD,1711221433,ZRH,ZAG,OU465,OU,0,64,CTN465,CTN
1444,43.34,0.0,19.74,347bb8c2,516097,196,24650,411,,E195,4O-AOB,1711221433,BEG,TGD,4O103,4O,0,-2560,MNE103,MNE
1465,56.39,189.73049945553842,11.13,347b8902,45C86A,122,23925,413,,A320,OY-RCJ,1711221434,FAE,CPH,RC454,RC,0,-2624,FLI454,FLI
1480,39.17,0.0,10.42,347b9687,4D24F2,139,23000,376,,DH8D,9H-LWA,1711221433,MRS,MLA,BN5341,BN,0,0,LWG5341,LWG
1481,59.69,134.07064945325337,16.84,347ba9d5,4AB292,21,23000,260,,F50,SE-LTR,1711221428,VXO,LLA,HP5035,HP,0,960,APF5035,APF
1495,39.85,2957.946148343667,45.21,347bbb9f,731A28,110,21950,410,,A320,EP-FQH,1711221432,EVN,IKA,QB2250,QB,0,1664,QSM2250,QSM
0,44.63,1223.4449193928376,1.03,347bac28,49328A,350,43000,394,,C68A,CS-LTJ,1711222334,PMI,LBG,,,0,0,NJE962R,NJE
1,37.47,796.55930025832,34.13,347b95aa,45D93A,260,43000,460,,GL5T,OY-VIZ,1711222335,EBL,,VMP944,VM,0,0,VMP944,VMP
3,40.32,604.209280450318,36.09,347b759e,4D2484,114,43000,512,,GL7T,9H-VONE,1711222335,PRG,MLE,VJT755,VJ,0,0,VJT755,VJT
4,61.36,5695.495918389522,18.66,347bb2d2,4ACAC2,17,43000,383,,PC24,SE-RVB,1711222332,ARN,UME,,,0,0,SWE26V,SWE
5,48.06,3093.243627076143,-1.22,347b59fc,407E4C,14,43000,413,,E55P,G-NHHG,1711222334,AGP,SEN,,,0,0,VCG2HG,VCG
9,38.24,5480.290509565724,21.83,347b1a2b,A0BE20,152,41000,512,,GLEX,N147QS,1711222334,LTN,DWC,,,0,64,N147QS,EJA
11,43.85,550.4170221747181,22.03,347b6d21,4D2372,119,41000,455,,A332,9H-TQP,1711222332,STN,ISB,,,0,0,HFM640P,HFY
13,49.65,863.8472622458692,43.88,347b6710,150640,342,41000,454,,GL5T,RA-67136,1711222335,IST,VKO,RSJ7136,RS,0,0,RSJ7136,RSJ
21,45.95,522.8177149565648,1.32,347b83b3,008BA5,171,40975,511,,GLEX,ZS-EKA,1711222331,FAB,JNB,,,0,0,OPM007,OPM
25,42.23,1981.1221744459685,26.83,347bab6d,4BB4E4,298,40000,452,,B738,TC-MGD,1711222333,AYT,CGN,4M605,4M,0,0,MGH605,MGH
46,36.84,666.7501123527588,30.8,347bac51,717CB6,176,39025,464,,A20N,HZ-FBB,1711222331,IST,JED,F3808,F3,0,0,FAD808,FAD
59,48.75,951.7046630226525,10.23,347b9338,0100DE,125,39000,482,,B738,SU-GCP,1711222334,LHR,CAI,MS531,MS,0,0,MSR531,MSX
63,40.72,5730.421711403369,17.45,347b784b,04C11C,139,39000,483,,B788,5Y-KZF,1711222331,LHR,NBO,KQ101,KQ,0,0,KQA101,KQA
80,41.55,0.0,28.79,347bb202,4A08E6,178,39000,470,,B737,YR-BGF,1711222332,OTP,TLV,RO155,RO,0,0,ROT155,ROT
85,39.11,0.0,24.86,347b07e8,740822,136,39000,494,,B788,JY-BAB,1711222332,LHR,AMM,RJ112,RJ,0,-64,RJA112,RJA
115,47.91,0.0,11.81,347b0641,501C2F,17,38050,476,,A319,9A-MUC,1711222333,LPA,DRS,SR3469,SR,0,-256,SDR36NB,BER
122,42.02,775.4107289796202,34.07,347bb4fb,3CCD4B,280,38025,470,,LJ60,D-CFAX,1711222335,TZX,BUD,IFA1065,IF,0,0,IFA1065,IFA
161,44.23,0.0,15.43,347bacaf,4B1942,301,38000,393,,A320,HB-JOS,1711222333,PRN,BSL,GM611,GM,0,0,GSW611,GSW
175,57.51,0.0,39.03,347b7026,155C2F,341,38000,433,,SU95,RA-89135,1711222330,MRV,CEE,D294,D2,0,0,SSF94,SSF
178,54.91,0.0,46.04,347b8fdd,151E34,286,38000,381,,B737,RA-73268,1711222332,,,6R9942,6R,0,0,DRU9942,DRU
202,36.74,3273.7440543823477,26.95,347ba74c,469E45,293,38000,440,,A20N,SX-GRE,1711222331,LCA,ATH,,,0,0,SEH003P,SEH
221,42.55,118.30358819960492,4.7,347b8729,4D2304,295,38000,403,,B38M,9H-VUF,1711222334,MLA,TLS,FR3044,FR,0,0,RYR46VD,MAY
246,46.97,0.0,14.59,347b90de,504E61,264,38000,388,,A319,ER-SKY,1711222333,RMO,BGY,H4483,H4,0,-64,HYS483,HYM
267,44.1,0.0,21.4,347bb32a,505CE6,256,38000,415,,B738,OM-GTF,1711222332,OTP,FCO,W43145,W4,0,64,WMT7AG,RLX
281,36.18,0.0,43.23,347b6548,4BB721,343,37975,444,,A321,TC-MYA,1711221983,DWC,IST,MB704,MB,0,0,MNB704,MNB
350,45.02,0.0,47.59,347bb1ea,5140B3,359,37000,450,,B738,4L-GTD,1711222334,TBS,VKO,A9930,A9,0,-64,TGZ930D,TGZ
351,33.94,0.0,-9.82,347b48bd,347647,233,37000,425,,E295,EC-OEC,1711222331,VCE,LPA,NT3063,NT,0,64,IBB5UV,IBB
363,55.5,942.0090317952482,32.28,347b4439,4B9E4F,71,37000,506,,B38M,TC-GRO,1711222327,AYT,,2S2105,2S,0,0,STW2105,STW
387,55.97,0.0,47.74,347ba062,781BF6,92,37000,544,,A359,B-324R,1711222327,SVO,SZX,CZ8372,CZ,0,0,CSN8372,CSN
393,54.06,0.0,43.62,347bb984,507C5D,121,37000,492,,A320,UK32030,1711222331,VKO,TAS,HH778,HH,0,64,QNT778,QNT
400,49.79,0.0,-11.48,347b113e,76CCE2,96,37000,538,,A359,9V-SGB,1711222332,EWR,SIN,SQ21,SQ,0,0,SIA21,SIA
425,39.26,368.53115775651577,21.12,347a79b0,A8320E,152,37000,515,,B748,N627UP,1711222333,SDF,DXB,5X76,5X,0,64,UPS76,UPS
475,49.8,0.0,5.92,347bb5a7,46D1F9,116,37000,470,,C650,SX-TOY,1711222330,BQH,ATH,LLK602,LL,0,0,LLK602,LLK
500,44.73,1645.6190140337146,9.58,347b7ca2,504E72,248,36950,371,,A320,ER-00008,1711222333,RMO,LIS,5F811,5F,0,0,FIA811,FIA
537,52.59,0.0,8.75,347ae904,7810C4,218,36025,452,,B763,B-1589,1711222334,KGF,LGG,O37429,O3,0,0,CSS7429,CSS
625,39.18,222.95387174859076,20.8,347ba24d,4D2397,245,36000,446,,A320,9H-MSA,1711222333,IST,MJI,BM503,BM,0,0,MNS503,MNS
648,39.98,2765.121715129312,-6.81,347b8631,346193,32,36000,459,,A319,EC-NCB,1711222332,LPA,NTE,V72739,V7,0,64,VOE2739,VOE
672,46.09,4589.914913790389,6.84,347bafb7,4D2103,313,36000,323,,CRJ2,9H-JOY,1711222333,PSA,LBG,,,0,-128,AXY623V,AXY
674,41.67,607.3885268818052,33.05,347b0e7a,780A7B,277,36000,490,,A332,B-LNV,1711222327,ALA,IST,RH9489,RH,0,-64,HKC9489,HKC
714,49.49,798.0794867700884,7.86,347a1f0d,39B221,281,36000,456,,B77L,F-HMRB,1711222334,HKG,CDG,2C611,2C,0,0,CMA611,CMA
727,40.76,1169.9334608480915,17.41,347b3268,717C74,301,35975,416,,A20N,HZ-NS68,1711222334,JED,MRS,XY659,XY,0,0,KNE659,KNE
776,45.83,0.0,17.6,347b6b49,010237,123,35050,453,,A320,SU-NML,1711222331,CGN,HRG,NE6304,NE,0,0,NMA6304,NMA
779,38.45,5294.961894700775,43.38,347b4e91,734844,97,35050,488,,A310,EP-RBD,1711222327,IKA,IST,MRJ4806,MR,0,-64,MRJ4806,MRJ
780,57.87,711.7630782914382,49.02,347baaf1,151E2C,68,35050,505,,B738,RA-73260,1711222331,VKO,NER,R3783,R3,0,0,SYL783,SYL
807,40.66,0.0,34.83,347b3d7f,706056,112,35000,478,,B77W,9K-AOC,1711222332,LHR,KWI,KU102,KU,0,0,KAC102,KAC
820,38.86,0.0,42.21,347b28bb,47B12E,113,35000,532,,B789,LN-FNC,1711222333,OSL,BKK,N091,N0,0,-128,NBT091,NBT
824,40.81,590.5680456096463,32.48,347b73ae,507C8F,105,35000,412,,B763,UK67010,1711222332,OSR,TAS,C67600,C6,0,0,MFX7600,MFX
832,51.73,0.0,-7.5,347ab81d,A1CB05,84,35000,483,,A21N,N2142J,1711222332,JFK,LHR,B61107,B6,0,-64,JBU1107,JBU
839,43.63,0.0,28.68,347b9df8,7816BD,121,35000,466,,A332,B-308P,1711222330,BUD,TFU,3U9808,3U,0,0,CSC9808,CSC
850,54.14,1503.6448621617124,42.57,347bbc43,683329,113,35000,516,,B38M,UP-B3737,1711222335,VKO,ALA,DV816,DV,0,0,VSV816,VSV
886,50.23,773.2931029356712,0.48,347bb87c,4B19F2,137,35000,514,,E190,HB-JVM,1711222331,BHX,ZRH,LX425,LX,0,-64,SWR3WD,OAW
890,44.67,0.0,11.42,347b9ebf,5083DF,131,35000,518,,B738,UR-SQB,1711222334,CDG,LXR,FT3302,FT,0,-64,FEG3302,SQP
898,35.18,630.8239442933844,22.39,347b6322,0101A7,124,35000,471,,A320,SU-BQK,1711222333,NTE,LXR,NP7156,NP,0,0,NIA7156,NIA
903,51.04,3839.048041593473,43.38,347b474a,155BF6,326,35000,400,,SU95,RA-89078,1711222331,AYT,DME,IO1802,IO,0,0,IAE1802,IAE
929,41.45,1322.9508952204387,38.5,347b6085,424502,96,35000,462,,B738,VQ-BHE,1711222335,MUC,DYU,SZ122,SZ,0,0,SMR122,SMR
943,38.03,0.0,47.78,347b62e8,4BB164,115,34975,536,,B77W,TC-LKD,1711222333,IST,DEL,6E12,6E,0,64,IGO012,IGO
945,34.03,251.72116147558856,-9.17,347b5996,096028,218,34975,411,,B38M,D4-CCJ,1711222331,BGY,SID,VR631,VR,0,0,TCV631,TCV
958,38.64,0.0,46.98,347bbb9f,731A28,121,34950,499,,A320,EP-FQH,1711222331,EVN,IKA,QB2250,QB,0,-64,QSM2250,QSM
994,42.25,0.0,23.65,347b2ae8,A95C2F,353,34025,467,,B744,N702CA,1711222332,,,,,0,0,CMB559,NCR
1001,40.35,0.0,16.54,347ba125,34654B,277,34025,408,,A321,EC-NLJ,1711222334,ATH,BCN,VY8103,VY,0,64,VLG1FB,PVG
1013,49.41,155.5009672260928,1.74,347b4212,503CC0,42,34000,446,,B738,LY-LOC,1711222331,TFS,HAM,DI6449,DI,0,0,MBU6449,KLJ
1019,40.18,199.16502718063037,30.13,347b877c,5084D1,335,34000,430,,B753,UR-SLE,1711222332,HRG,KTW,QU9122,QU,0,0,UTN9122,UTN
1049,48.52,336.0528028892748,20.25,347baa0d,452153,334,34000,479,,A320,LZ-FSD,1711222333,SOF,CPH,W64377,W6,0,0,WZZ6CV,USW
1069,40.58,0.0,24.03,347b7b37,4520D0,332,34000,432,,A320,LZ-FBI,1711222332,HRG,SOF,8H3004,8H,0,0,BGH3004,LZB
1071,54.3,1807.1535516913805,23.55,347b974d,4C01E7,219,34000,338,,A320,YU-APH,1711222332,SVO,BEG,JU653,JU,0,64,ASL653,ASL
1078,34.49,563.0952554509371,-10.28,347b70e4,E494A2,35,34000,436,,E390,FAB2854,1711222332,LPA,CIA,BRS505,BR,0,0,BRS505,BRS
1084,39.48,4263.746274568164,38.46,347ba9b2,4B8211,253,33975,370,,A400,17-0078,1711222334,IGD,,,,0,-896,ESEN02,HVK
1088,40.46,314.18666913095734,29.96,347b8c6f,010250,335,33975,421,,A321,SU-TCL,1711222331,SSH,SVO,UJ611,UJ,0,0,LMU611,LMU
1097,57.87,0.0,35.81,347b8acb,151E37,284,33925,372,,A321,RA-73271,1711222332,KZN,LED,N4248,N4,0,64,NWS248,NWS
1115,47.49,969.9344149537737,-0.14,347b6bb9,E8021C,229,33025,418,,B763,CC-CXE,1711222331,FRA,SID,UC1506,UC,0,0,LCO1506,LCO
1119,40.41,2784.8490101616135,46.83,347b650b,728646,95,33000,527,,BCS3,YI-ARF,1711222334,BGW,GYD,IA421,IA,0,64,IAW421,IAW
1121,62.04,631.5596513764561,27.85,347b64cb,7807D6,67,33000,500,,A332,B-6538,1711222331,LHR,PVG,MU534,MU,0,0,CES534,CES
1122,39.94,0.0,18.25,347ba07e,4CAC36,137,33000,478,,B38M,EI-RZD,1711222331,VRN,RMF,NO6500,NO,0,64,NOS6500,NOS
1124,37.34,2164.538032186352,-11.76,347b9fcd,E07246,238,33000,484,,A332,LV-GIF,1711222332,MAD,EZE,AR1133,AR,0,0,ARG1133,ARG
1126,53.58,0.0,3.12,347bbace,781F03,26,33000,475,,B77L,B-223G,1711222332,STN,CAN,CSG2532,CS,0,0,CSG2532,CSG
1137,51.03,4494.031965311436,17.1,347b91ab,738C0A,160,33000,414,,B763,4X-IAJ,1711222333,OSL,TLV,5C602,5C,0,-64,ICL602,CHG
1147,50.67,2960.832940778754,5.52,347baf70,43C174,103,33000,484,,C17,ZZ174,1711222334,BZZ,,RRR6652,RR,0,-64,RRR6652,RRR
1150,47.73,0.0,17.04,347b8bba,4CAC13,116,33000,454,,A21N,EI-KGD,1711222333,LHR,SCO,KC664,KC,0,0,KZR664,KZR
1161,42.88,1185.1783860342794,28.63,347b7d89,3C4581,124,33000,480,,B77L,D-AALA,1711222326,FRA,BOM,3S628,3S,0,0,BOX628,BOX
1181,52.4,3811.8395553564205,4.88,347b9dcd,4A1265,101,32975,492,,A320,YR-DSE,1711222332,DUB,BCM,DN408,DN,0,0,JOC408,JOC
1183,40.06,0.0,42.39,347b3350,899105,130,32975,506,,B744,B-18719,1711222314,AMS,BOM,CI5686,CI,0,0,CAL5686,CAL
1196,47.73,4775.964612612716,8.33,347bac21,4B8472,115,32875,545,,B744,TC-ACR,1711222333,CDG,DOH,QR8254,QR,0,64,QTR8254,RUN
1197,36.55,2021.5876318175576,-8.11,347b842c,3C79C1,49,32725,465,,A320,D-ANNA,1711222332,LPA,BER,SR3499,SR,0,832,SDR39CJ,SDR
1201,38.49,242.2101801502007,43.19,347b8c7c,73502E,105,32525,86,,MD83,EP-TAN,1711222331,IST,,I36602,I3,0,0,TBZ6602,TBZ
1215,58.28,2155.8553148933524,15.62,347bbd4b,4CAFD7,219,32025,444,,CRJ9,EI-GED,1711222331,ARN,CPH,SK1409,SK,0,-64,SAS39C,BCY
1232,44.51,360.4366072815105,3.01,347b9f0b,780C5D,59,32000,524,,B77L,B-2093,1711222333,MAD,HGH,CAO3138,CA,0,0,CAO3138,CAO
1254,46.21,0.0,10.44,347b4020,3A2E23,134,31025,553,,B77W,F-OLRD,1711222334,CDG,RUN,UU974,UU,0,-64,REU974,REU
1268,48.65,0.0,13.04,347ba116,896442,114,31000,518,,B77L,A6-DDE,1711222334,AMS,AUH,EY918,EY,0,0,ETD918,ETD
1269,40.9,8351.303529592566,32.03,347b608c,867FAC,105,31000,454,,B77W,JA733J,1711222334,CDG,HND,JL46,JL,0,0,JAL46,JAL
1274,59.95,8026.219299963993,34.73,347b7c94,781A4B,89,31000,538,,B77L,B-220F,1711222331,AMS,PVG,CK206,CK,0,0,CKK206,CKK
1278,45.61,756.1868208370371,24.8,347b8550,71BE23,122,31000,502,,B748,HL7623,1711222334,FRA,ICN,KE530,KE,0,0,KAL530,KAL
1346,49.21,333.3350518173516,3.9,347bc40b,49D357,75,28125,494,,A320,OK-HEU,1711222331,CDG,PRG,OK767,OK,0,1472,CSA3CZ,CSA
1355,51.56,0.0,10.94,347bbde7,3CF68E,167,27825,436,,LJ60,D-CURE,1711222333,HAM,NUE,,,0,-1152,ADN64E,ADN
1391,51.7,350.0129716910562,1.84,3479f758,885178,290,26175,401,,B77W,HS-TKX,1711222333,BKK,LHR,TG916,TG,0,-2048,THA916,THA
1414,46.75,5632.7251125215,12.72,347bb609,501DC5,112,25000,392,,DH8D,9A-CQD,1711222334,ZRH,ZAG,OU465,OU,0,0,CTN465,CTN
1415,46.34,0.0,0.81,347bb571,462DD1,101,25000,355,,PC12,OH-RJD,1711222332,EDM,GVA,,,0,0,FSF533M,FSF
1431,57.22,0.0,37.75,347b94fc,14232E,183,24000,439,,F900,RA-09006,1711222327,KVK,,4G9624,4G,0,-128,GZP9624,GZP
1435,40.41,469.0637701619599,48.38,347b24fc,600B22,112,23775,471,,B744,4K-BCH,1711222335,LGG,GYD,7L752,7L,0,-1856,AZG752,AZG
1443,55.04,586.342869695677,24.44,347bc0ec,511065,294,23075,351,,CRJ9,ES-ACC,1711222332,VNO,CPH,SK1743,SK,0,2304,SAS33A,NDA
1446,37.99,9480.073200056606,11.7,347b9687,4D24F2,140,23000,367,,DH8D,9H-LWA,1711222332,MRS,MLA,BN5341,BN,0,64,LWG5341,LWG
1447,60.73,150.970652950472,17.5,347ba9d5,4AB292,11,23000,273,,F50,SE-LTR,1711222332,VXO,LLA,HP5035,HP,0,960,APF5035,APF
1457,47.09,0.0,4.75,347bc400,399545,333,22000,294,,E145,F-HFKF,1711222330,LYN,LBG,,,0,0,TLJ340W,TLJ
1471,50.8,160.28503028652082,13.35,347b3032,4D24A8,318,20775,361,,B38M,9H-HYA,1711222332,RMF,LEJ,6Y378,6Y,0,-2240,ART378,ART
1489,49.31,0.0,7.92,347ae599,4D0115,297,19825,382,,B744,LX-ECV,1711222333,DWC,LUX,CV7205,CV,0,-2176,CLX7XM,CLX
1,51.46,796.55930025832,43.16,347b6710,150640,331,43000,454,,GL5T,RA-67136,1711223235,IST,VKO,RSJ7136,RS,0,0,RSJ7136,RSJ
2,41.45,669.4334680553275,34.16,347b6004,06A1D2,290,43000,486,,GLF6,A7-CGN,1711223227,DIA,LIN,QE985,QE,0,64,QQE985,QQE
4,39.31,283.56207859998807,38.9,347b759e,4D2484,115,43000,526,,GL7T,9H-VONE,1711223232,PRG,MLE,VJT755,VJ,0,-64,VJT755,VJT
6,46.28,6063.982071902412,0.65,347bac28,49328A,351,41500,418,,C68A,CS-LTJ,1711223234,PMI,LBG,,,0,-1088,NJE962R,NJE
12,43.56,3631.2825316926933,24.64,347b6d21,4D2372,98,41000,455,,A332,9H-TQP,1711223233,STN,ISB,,,0,0,HFM640P,HFY
14,36.3,8663.239010225605,23.07,347b1a2b,A0BE20,153,41000,529,,GLEX,N147QS,1711223233,LTN,DWC,,,0,-64,N147QS,EJA
18,43.89,998.0546077184283,1.73,347b83b3,008BA5,172,40975,492,,GLEX,ZS-EKA,1711223234,FAB,JNB,,,0,-64,OPM007,OPM
33,43.08,302.2300913162025,24.67,347bab6d,4BB4E4,297,40000,430,,B738,TC-MGD,1711223234,AYT,CGN,4M605,4M,0,0,MGH605,MGH
43,55.69,410.2985161595499,21.83,347bc0ec,511065,292,39675,429,,CRJ9,ES-ACC,1711223233,VNO,CPH,SK1743,SK,0,512,SAS33A,NDA
46,34.94,1864.3402940583742,30.87,347bac51,717CB6,178,39025,446,,A20N,HZ-FBB,1711223234,IST,JED,F3808,F3,0,64,FAD808,FAD
52,47.44,0.0,12.46,347b9338,0100DE,131,39000,479,,B738,SU-GCP,1711223232,LHR,CAI,MS531,MS,0,-64,MSR531,MSX
56,39.71,557.7091207789858,29.49,347bb202,4A08E6,157,39000,461,,B737,YR-BGF,1711223234,OTP,TLV,RO155,RO,0,0,ROT155,ROT
77,49.76,375.79013346962444,6.99,347bc40b,49D357,75,39000,497,,A320,OK-HEU,1711223234,CDG,PRG,OK767,OK,0,0,CSA3CZ,CSA
90,39.17,5278.048613387536,19.17,347b784b,04C11C,136,39000,495,,B788,5Y-KZF,1711223231,LHR,NBO,KQ101,KQ,0,-64,KQA101,KQA
104,37.6,451.7768735948291,26.66,347b07e8,740822,137,38975,496,,B788,JY-BAB,1711223234,LHR,AMM,RJ112,RJ,0,0,RJA112,RJA
200,42.31,590.3321991014606,31.44,347bb4fb,3CCD4B,278,38000,483,,LJ60,D-CFAX,1711223226,TZX,BUD,IFA1065,IF,0,0,IFA1065,IFA
215,45.07,762.0107059450488,13.46,347bacaf,4B1942,300,38000,396,,A320,HB-JOS,1711223233,PRN,BSL,GM611,GM,0,0,GSW611,GSW
244,42.12,804.8972193750109,12.86,347bac03,45C86B,357,38000,444,,A20N,OY-RCK,1711223232,MLA,CPH,RC7125,RC,0,0,FLI7125,FLI
254,43.69,0.0,19.14,347bb32a,505CE6,255,38000,406,,B738,OM-GTF,1711223232,OTP,FCO,W43145,W4,0,0,WMT7AG,RLX
258,55.27,0.0,43.3,347b8fdd,151E34,275,38000,392,,B737,RA-73268,1711223232,,,6R9942,6R,0,64,DRU9942,DRU
290,44.13,0.0,7.61,347b7ca2,504E72,242,37050,374,,A320,ER-00008,1711223232,RMO,LIS,5F811,5F,0,0,FIA811,FIA
297,53.14,295.1702278035198,46.4,347bb984,507C5D,120,37025,478,,A320,UK32030,1711223219,VKO,TAS,HH778,HH,0,-64,QNT778,QNT
350,40.31,1383.8603266617831,34.75,347b73ae,507C8F,106,37000,452,,B763,UK67010,1711223232,OSR,TAS,C67600,C6,0,-64,MFX7600,MFX
390,49.48,0.0,-8.05,347b113e,76CCE2,99,37000,534,,A359,9V-SGB,1711223232,EWR,SIN,SQ21,SQ,0,0,SIA21,SIA
412,46.63,0.0,46.86,347bb1ea,5140B3,298,37000,449,,B738,4L-GTD,1711223233,TBS,VKO,A9930,A9,0,0,TGZ930D,TGZ
428,48.68,0.0,8.33,347bb5a7,46D1F9,131,37000,464,,C650,SX-TOY,1711223230,BQH,ATH,LLK602,LL,0,-192,LLK602,LLK
429,56.09,2214.2850700615495,51.84,347ba062,781BF6,90,37000,544,,A359,B-324R,1711223225,SVO,SZX,CZ8372,CZ,0,0,CSN8372,CSN
445,37.34,0.0,22.38,347a79b0,A8320E,153,37000,526,,B748,N627UP,1711223234,SDF,DXB,5X76,5X,0,0,UPS76,UPS
497,47.12,0.0,5.43,347bafb7,4D2103,318,36025,360,,CRJ2,9H-JOY,1711223234,PSA,LBG,,,0,0,AXY623V,AXY
651,41.66,0.0,-5.66,347b8631,346193,26,36000,454,,A319,EC-NCB,1711223232,LPA,NTE,V72739,V7,0,0,VOE2739,VOE
666,53.03,270.5464011194238,44.52,347b9ed6,5100FA,291,36000,408,,E75L,EW-512PO,1711223221,BXY,MSQ,B28748,B2,0,-64,BRU8748,BRU
679,52.52,0.0,42.0,347b474a,155BF6,322,36000,378,,SU95,RA-89078,1711223231,AYT,DME,IO1802,IO,0,0,IAE1802,IAE
725,38.28,0.0,18.81,347ba24d,4D2397,212,35975,445,,A320,9H-MSA,1711223231,IST,MJI,BM503,BM,0,0,MNS503,MNS
728,41.63,6530.835880792773,15.45,347b3268,717C74,299,35975,412,,A20N,HZ-NS68,1711223232,JED,MRS,XY659,XY,0,0,KNE659,KNE
767,44.73,660.2215592601875,19.73,347b6b49,010237,127,35050,465,,A320,SU-NML,1711223231,CGN,HRG,NE6304,NE,0,-64,NMA6304,NMA
774,37.6,0.0,45.5,347b4e91,734844,114,35025,510,,A310,EP-RBD,1711223235,IKA,IST,MRJ4806,MR,0,-64,MRJ4806,MRJ
790,37.55,0.0,49.19,347bbb9f,731A28,122,35000,500,,A320,EP-FQH,1711223233,EVN,IKA,QB2250,QB,0,0,QSM2250,QSM
808,53.29,2930.0877356252404,45.7,347bbc43,683329,115,35000,496,,B38M,UP-B3737,1711223215,VKO,ALA,DV816,DV,0,-64,VSV816,VSV
811,51.6,0.0,-4.2,347ab81d,A1CB05,97,35000,502,,A21N,N2142J,1711223231,JFK,LHR,B61107,B6,0,0,JBU1107,JBU
829,48.62,0.0,2.66,347bb87c,4B19F2,139,35000,512,,E190,HB-JVM,1711223232,BHX,ZRH,LX425,LX,0,-64,SWR3WD,OAW
838,41.28,2987.9347309170676,41.04,347b6085,424502,87,35000,468,,B738,VQ-BHE,1711223235,MUC,DYU,SZ122,SZ,0,0,SMR122,SMR
846,36.85,6975.059032056451,24.18,347b5dbf,738286,110,35000,421,,A320,4X-ABI,1711223234,GNB,TLV,6H146,6H,0,0,ISR146,ISR
849,48.49,1117.986950912519,44.64,347b9642,155C1D,325,35000,431,,SU95,RA-89117,1711223226,AER,CEE,D2364,D2,0,0,SSF364,SSF
850,34.05,2768.2017497122865,24.36,347b6322,0101A7,125,35000,481,,A320,SU-BQK,1711223232,NTE,LXR,NP7156,NP,0,0,NIA7156,NIA
854,50.77,1414.3706917602856,3.79,347b4212,503CC0,45,35000,464,,B738,LY-LOC,1711223233,TFS,HAM,DI6449,DI,0,-64,MBU6449,KLJ
867,37.07,436.21878099396713,50.26,347b62e8,4BB164,116,35000,528,,B77W,TC-LKD,1711223233,IST,DEL,6E12,6E,0,0,IGO012,IGO
883,38.43,0.0,19.95,347ba07e,4CAC36,139,35000,489,,B38M,EI-RZD,1711223231,VRN,RMF,NO6500,NO,0,64,NOS6500,NOS
902,42.67,0.0,30.92,347b9df8,7816BD,104,35000,440,,A332,B-308P,1711223231,BUD,TFU,3U9808,3U,0,0,CSC9808,CSC
905,39.87,0.0,37.26,347b3d7f,706056,113,35000,509,,B77W,9K-AOC,1711223227,LHR,KWI,KU102,KU,0,0,KAC102,KAC
922,37.9,3310.549312782048,44.71,347b28bb,47B12E,115,34975,523,,B789,LN-FNC,1711223233,OSL,BKK,N091,N0,0,64,NBT091,NBT
961,42.09,2047.8419676496096,29.18,347b8c6f,010250,342,34050,415,,A321,SU-TCL,1711223233,SSH,SVO,UJ611,UJ,0,0,LMU611,LMU
964,40.54,0.0,14.34,347ba125,34654B,275,34025,398,,A321,EC-NLJ,1711223234,ATH,BCN,VY8103,VY,0,0,VLG1FB,PVG
971,44.19,0.0,23.08,347b2ae8,A95C2F,347,34025,488,,B744,N702CA,1711223233,,,,,0,0,CMB559,NCR
989,50.32,1105.186192934372,18.91,347baa0d,452153,333,34000,472,,A320,LZ-FSD,1711223233,SOF,CPH,W64377,W6,0,-64,WZZ6CV,USW
1001,53.67,1223.060087790605,-12.31,347b91c7,C01753,282,34000,395,,B77W,C-FIVQ,1711223232,LHR,YYZ,AC859,AC,0,0,ACA859,ACA
1015,41.8,1160.3873653363617,29.29,347b877c,5084D1,343,34000,413,,B753,UR-SLE,1711223232,HRG,KTW,QU9122,QU,0,0,UTN9122,UTN
1021,52.91,2554.3907159981286,22.83,347b974d,4C01E7,194,34000,352,,A320,YU-APH,1711223233,SVO,BEG,JU653,JU,0,0,ASL653,ASL
1048,37.83,197.54365823629814,-6.24,347b842c,3C79C1,49,34000,475,,A320,D-ANNA,1711223233,LPA,BER,SR3499,SR,0,0,SDR39CJ,SDR
